Time,kospi_price,lending,credit_long,credit_short,secured_loan,lending_gr,credit_long_gr,credit_short_gr,secured_loan_gr,kospi_price_gr
2009-08-10,1576.11,17840910891495,2904954000000,25384000000,4032372000000,-0.0059,0.0093,-0.0086,0.0036,0.0001
2009-08-11,1579.21,17907392026670,2926916000000,25213000000,4013086000000,0.0037,0.0076,-0.0067,-0.0048,0.0020
2009-08-12,1565.35,17735896396740,2929425000000,24755000000,4044100000000,-0.0096,0.0009,-0.0182,0.0077,-0.0088
2009-08-13,1564.64,17702119390230,2949283000000,25359000000,4030830000000,-0.0019,0.0068,0.0244,-0.0033,-0.0005
2009-08-14,1591.41,17876355611930,3004820000000,23873000000,3976640000000,0.0098,0.0188,-0.0586,-0.0134,0.0171
2009-08-17,1547.06,17263423083405,3060470000000,22846000000,4015589000000,-0.0343,0.0185,-0.0430,0.0098,-0.0279
2009-08-18,1550.24,17234099755255,3065751000000,23748000000,4036238000000,-0.0017,0.0017,0.0395,0.0051,0.0021
2009-08-19,1545.96,16978228454670,3078749000000,21853000000,4090453000000,-0.0148,0.0042,-0.0798,0.0134,-0.0028
2009-08-20,1576.39,17278831900295,3100464000000,21723000000,4096808000000,0.0177,0.0071,-0.0059,0.0016,0.0197
2009-08-21,1580.98,17406551288620,3113719000000,23040000000,4130951000000,0.0074,0.0043,0.0606,0.0083,0.0029
2009-08-24,1612.22,17731493866045,3143934000000,23724000000,4149631000000,0.0187,0.0097,0.0297,0.0045,0.0198
2009-08-25,1601.38,17623816011305,3182716000000,23985000000,4171672000000,-0.0061,0.0123,0.0110,0.0053,-0.0067
2009-08-26,1614.12,17770589454210,3267580000000,25650000000,4162383000000,0.0083,0.0267,0.0694,-0.0022,0.0080
2009-08-27,1599.33,17429858946065,3283358000000,25174000000,4202361000000,-0.0192,0.0048,-0.0186,0.0096,-0.0092
2009-08-28,1607.94,17766740477220,3329418000000,24526000000,4207928000000,0.0193,0.0140,-0.0257,0.0013,0.0054
2009-08-31,1591.85,17466987421080,3307293000000,24577000000,4250850000000,-0.0169,-0.0066,0.0021,0.0102,-0.0100
2009-09-01,1623.06,17935965843625,3310897000000,22894000000,4253992000000,0.0268,0.0011,-0.0685,0.0007,0.0196
2009-09-02,1613.16,17631389148470,3311770000000,22839000000,4281887000000,-0.0170,0.0003,-0.0024,0.0066,-0.0061
